"Input Order","Search Term","Yeast GeneID","SGDID","Yeast Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"8","NNK1","853683","S000001654","NNK1","Human","8569","7110","MKNK1","ENSG00000079277","2","2.03","high","Yes","Yes","Compara, Panther","","Add","G2F details (MKNK1)    DRscDB Data: (MKNK1)                             Human Protein Atlas  (HPA)"
"8","NNK1","853683","S000001654","NNK1","Human","814","1464","CAMK4","ENSG00000152495","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (CAMK4)    DRscDB Data: (CAMK4)                             Human Protein Atlas  (HPA)"
"9","NOB1","854221","S000005582","NOB1","Human","28987","29540","NOB1","ENSG00000141101","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (NOB1)    DRscDB Data: (NOB1)                             Human Protein Atlas  (HPA)"
"10","PCL10","852743","S000003102","PCL10","Human","27013","25220","CNPPD1","ENSG00000115649","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (CNPPD1)    DRscDB Data: (CNPPD1)                             Human Protein Atlas  (HPA)"
"11","REC8","856115","S000006211","REC8","Human","9985","16879","REC8","ENSG00000100918","1","1.1","low","Yes","No","Panther","","Add","G2F details (REC8)    DRscDB Data: (REC8)                             Human Protein Atlas  (HPA)"
"11","REC8","856115","S000006211","REC8","Human","642636","16271","RAD21L1","ENSG00000244588","1","1.1","low","Yes","No","Panther","","Add","G2F details (RAD21L1)    DRscDB Data: (RAD21L1)                             Human Protein Atlas  (HPA)"
"11","REC8","856115","S000006211","REC8","Human","5885","9811","RAD21","ENSG00000164754","1","1.1","low","Yes","No","Panther","","Add","G2F details (RAD21)    DRscDB Data: (RAD21)                             Human Protein Atlas  (HPA)"
"12","RPS2","852754","S000003091","RPS2","Human","6187","10404","RPS2","ENSG00000140988","12","11.76","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (RPS2)    DRscDB Data: (RPS2)                             Human Protein Atlas  (HPA)"
"13","SEC23","856311","S000006385","SEC23","Human","10484","10701","SEC23A","ENSG00000100934","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (SEC23A)    DRscDB Data: (SEC23A)                             Human Protein Atlas  (HPA)"
"13","SEC23","856311","S000006385","SEC23","Human","10483","10702","SEC23B","ENSG00000101310","12","11.79","moderate","No","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (SEC23B)    DRscDB Data: (SEC23B)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3305","5234","HSPA1L","ENSG00000204390","10","9.87","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (HSPA1L)    DRscDB Data: (HSPA1L)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3312","5241","HSPA8","ENSG00000109971","9","8.87","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (HSPA8)    DRscDB Data: (HSPA8)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3304","5233","HSPA1B","ENSG00000204388","9","8.87","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (HSPA1B)    DRscDB Data: (HSPA1B)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3306","5235","HSPA2","ENSG00000126803","9","8.87","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (HSPA2)    DRscDB Data: (HSPA2)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3310","5239","HSPA6","ENSG00000173110","8","7.87","moderate","No","No","eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (HSPA6)    DRscDB Data: (HSPA6)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3303","5232","HSPA1A","ENSG00000204389","7","6.91","moderate","No","No","eggNOG, Hieranoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther","","Add","G2F details (HSPA1A)    DRscDB Data: (HSPA1A)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3311","5240","HSPA7","","2","2.01","moderate","No","Yes","Panther, Phylome","","Add","G2F details (HSPA7)    DRscDB Data: (HSPA7)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","6782","11375","HSPA13","ENSG00000155304","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (HSPA13)    DRscDB Data: (HSPA13)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3309","5238","HSPA5","ENSG00000044574","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL","","Add","G2F details (HSPA5)    DRscDB Data: (HSPA5)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","51182","29526","HSPA14","ENSG00000187522","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (HSPA14)    DRscDB Data: (HSPA14)                             Human Protein Atlas  (HPA)"
"14","SSA1","851259","S000000004","SSA1","Human","3313","5244","HSPA9","ENSG00000113013","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (HSPA9)    DRscDB Data: (HSPA9)                             Human Protein Atlas  (HPA)"
"15","ASC1","855143","S000004722","ASC1","Human","10399","4399","RACK1","ENSG00000204628","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RACK1)    DRscDB Data: (RACK1)                             Human Protein Atlas  (HPA)"
"15","BUL2","854929","S000004579","BUL2","","none found","","","","","","","","","","","",""
"16","CCR4","851212","S000000019","CCR4","Human","246175","18042","CNOT6L","ENSG00000138767","13","12.73","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CNOT6L)    DRscDB Data: (CNOT6L)                             Human Protein Atlas  (HPA)"
"16","CCR4","851212","S000000019","CCR4","Human","57472","14099","CNOT6","ENSG00000113300","11","10.78","moderate","No","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CNOT6)    DRscDB Data: (CNOT6)                             Human Protein Atlas  (HPA)"
"16","CCR4","851212","S000000019","CCR4","Human","23357","19961","ANGEL1","ENSG00000013523","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (ANGEL1)    DRscDB Data: (ANGEL1)                             Human Protein Atlas  (HPA)"
"17","CRM1","853133","S000003450","CRM1","Human","7514","12825","XPO1","ENSG00000082898","12","11.89","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (XPO1)    DRscDB Data: (XPO1)                             Human Protein Atlas  (HPA)"
"18","CRZ1","855704","S000004972","CRZ1","Human","6670","11208","SP3","ENSG00000172845","2","2.08","high","Yes","Yes","Inparanoid, RoundUp","","Add","G2F details (SP3)    DRscDB Data: (SP3)                             Human Protein Atlas  (HPA)"
"18","CRZ1","855704","S000004972","CRZ1","Human","7071","11810","KLF10","ENSG00000155090","2","1.99","high","Yes","Yes","RoundUp, TreeFam","","Add","G2F details (KLF10)    DRscDB Data: (KLF10)                             Human Protein Atlas  (HPA)"
"19","DCP1","854016","S000005509","DCP1","Human","55802","18714","DCP1A","ENSG00000272886","2","2","high","Yes","Yes","eggNOG, Panther","","Add","G2F details (DCP1A)    DRscDB Data: (DCP1A)                             Human Protein Atlas  (HPA)"
"19","DCP1","854016","S000005509","DCP1","Human","196513","24451","DCP1B","ENSG00000151065","2","2","high","Yes","Yes","eggNOG, Panther","","Add","G2F details (DCP1B)    DRscDB Data: (DCP1B)                             Human Protein Atlas  (HPA)"
"20","DCP2","855605","S000005062","DCP2","Human","167227","24452","DCP2","ENSG00000172795","9","8.73","high","Yes","Yes","Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (DCP2)    DRscDB Data: (DCP2)                             Human Protein Atlas  (HPA)"
"21","DSN1","854827","S000001449","DSN1","Human","79980","16165","DSN1","ENSG00000149636","1","1.1","low","Yes","Yes","Panther","","Add","G2F details (DSN1)    DRscDB Data: (DSN1)                             Human Protein Atlas  (HPA)"
"22","EDC3","856700","S000000741","EDC3","Human","80153","26114","EDC3","ENSG00000179151","6","5.87","high","Yes","Yes","Compara, eggNOG, OrthoFinder, Panther, Phylome, RoundUp","","Add","G2F details (EDC3)    DRscDB Data: (EDC3)                             Human Protein Atlas  (HPA)"
"23","EDE1","852233","S000000143","EDE1","Human","2060","3419","EPS15","ENSG00000085832","10","9.87","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (EPS15)    DRscDB Data: (EPS15)                             Human Protein Atlas  (HPA)"
"23","EDE1","852233","S000000143","EDE1","Human","58513","24634","EPS15L1","ENSG00000127527","9","8.94","moderate","No","Yes","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (EPS15L1)    DRscDB Data: (EPS15L1)                             Human Protein Atlas  (HPA)"
"23","EDE1","852233","S000000143","EDE1","Human","50618","6184","ITSN2","ENSG00000198399","3","2.99","moderate","No","Yes","Compara, Panther, TreeFam","","Add","G2F details (ITSN2)    DRscDB Data: (ITSN2)                             Human Protein Atlas  (HPA)"
"23","EDE1","852233","S000000143","EDE1","Human","6453","6183","ITSN1","ENSG00000205726","3","2.99","moderate","No","Yes","Compara, Panther, TreeFam","","Add","G2F details (ITSN1)    DRscDB Data: (ITSN1)                             Human Protein Atlas  (HPA)"
"23","EDE1","852233","S000000143","EDE1","Human","85021","15578","REPS1","ENSG00000135597","2","2.03","moderate","No","Yes","Compara, Panther","","Add","G2F details (REPS1)    DRscDB Data: (REPS1)                             Human Protein Atlas  (HPA)"
"24","ELP2","853114","S000003432","ELP2","Human","55250","18248","ELP2","ENSG00000134759","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (ELP2)    DRscDB Data: (ELP2)                             Human Protein Atlas  (HPA)"
"25","ELP3","856019","S000006007","ELP3","Human","55140","20696","ELP3","ENSG00000134014","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (ELP3)    DRscDB Data: (ELP3)                             Human Protein Atlas  (HPA)"
"26","GCN2","851877","S000002691","GCN2","Human","440275","19687","EIF2AK4","ENSG00000128829","13","12.81","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (EIF2AK4)    DRscDB Data: (EIF2AK4)                             Human Protein Atlas  (HPA)"
"26","GCN2","851877","S000002691","GCN2","Human","27102","24921","EIF2AK1","ENSG00000086232","2","1.93","moderate","No","Yes","eggNOG, RoundUp","","Add","G2F details (EIF2AK1)    DRscDB Data: (EIF2AK1)                             Human Protein Atlas  (HPA)"
"27","HEK2","852248","S000000128","HEK2","Human","54039","8651","PCBP3","ENSG00000183570","7","6.81","moderate","Yes","No","eggNOG, OMA, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PCBP3)    DRscDB Data: (PCBP3)                             Human Protein Atlas  (HPA)"
"27","HEK2","852248","S000000128","HEK2","Human","5094","8648","PCBP2","ENSG00000197111","6","5.8","moderate","No","No","eggNOG, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PCBP2)    DRscDB Data: (PCBP2)                             Human Protein Atlas  (HPA)"
"27","HEK2","852248","S000000128","HEK2","Human","5093","8647","PCBP1","ENSG00000169564","6","5.72","moderate","No","No","eggNOG, Isobase, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (PCBP1)    DRscDB Data: (PCBP1)                             Human Protein Atlas  (HPA)"
"27","HEK2","852248","S000000128","HEK2","Human","57060","8652","PCBP4","ENSG00000090097","5","4.9","moderate","No","No","eggNOG, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PCBP4)    DRscDB Data: (PCBP4)                             Human Protein Atlas  (HPA)"
"27","HEK2","852248","S000000128","HEK2","Human","3190","5044","HNRNPK","ENSG00000165119","3","3.04","low","No","No","Panther, Phylome, RoundUp","","Add","G2F details (HNRNPK)    DRscDB Data: (HNRNPK)                             Human Protein Atlas  (HPA)"
"27","HRI1","851008","S000004292","HRI1","","none found","","","","","","","","","","","",""
"28","HRR25","855897","S000006125","HRR25","Human","1453","2452","CSNK1D","ENSG00000141551","10","9.89","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (CSNK1D)    DRscDB Data: (CSNK1D)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","1452","2451","CSNK1A1","ENSG00000113712","8","7.79","moderate","No","Yes","eggNOG, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam","","Add","G2F details (CSNK1A1)    DRscDB Data: (CSNK1A1)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","102800317","53829","TPTEP2-CSNK1E","ENSG00000283900","6","5.99","moderate","No","Yes","Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Phylome, RoundUp","","Add","G2F details (TPTEP2-CSNK1E)    DRscDB Data: (TPTEP2-CSNK1E)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","122011","20289","CSNK1A1L","ENSG00000180138","6","5.71","moderate","No","Yes","eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, TreeFam","","Add","G2F details (CSNK1A1L)    DRscDB Data: (CSNK1A1L)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","1454","2453","CSNK1E","ENSG00000213923","4","3.9","moderate","No","Yes","eggNOG, OrthoFinder, orthoMCL, Panther","","Add","G2F details (CSNK1E)    DRscDB Data: (CSNK1E)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","51231","18996","VRK3","ENSG00000105053","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (VRK3)    DRscDB Data: (VRK3)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","7444","12719","VRK2","ENSG00000028116","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (VRK2)    DRscDB Data: (VRK2)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","7443","12718","VRK1","ENSG00000100749","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (VRK1)    DRscDB Data: (VRK1)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","1455","2455","CSNK1G2","ENSG00000133275","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (CSNK1G2)    DRscDB Data: (CSNK1G2)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","53944","2454","CSNK1G1","ENSG00000169118","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (CSNK1G1)    DRscDB Data: (CSNK1G1)                             Human Protein Atlas  (HPA)"
"28","HRR25","855897","S000006125","HRR25","Human","1456","2456","CSNK1G3","ENSG00000151292","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (CSNK1G3)    DRscDB Data: (CSNK1G3)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","3326","5258","HSP90AB1","ENSG00000096384","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HSP90AB1)    DRscDB Data: (HSP90AB1)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","3320","5253","HSP90AA1","ENSG00000080824","13","12.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HSP90AA1)    DRscDB Data: (HSP90AA1)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","3327","5259","HSP90AB3P","ENSG00000183199","4","4.06","moderate","No","Yes","Hieranoid, Inparanoid, Panther, Phylome","","Add","G2F details (HSP90AB3P)    DRscDB Data: (HSP90AB3P)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","391634","32537","HSP90AB2P","","2","2.01","moderate","No","Yes","Panther, Phylome","","Add","G2F details (HSP90AB2P)    DRscDB Data: (HSP90AB2P)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","664618","32538","HSP90AB4P","","2","2.01","moderate","No","Yes","Panther, Phylome","","Add","G2F details (HSP90AB4P)    DRscDB Data: (HSP90AB4P)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","3323","5255","HSP90AA4P","","2","2.01","moderate","No","Yes","Panther, Phylome","","Add","G2F details (HSP90AA4P)    DRscDB Data: (HSP90AA4P)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","730211","32535","HSP90AA5P","","2","2.01","moderate","No","Yes","Panther, Phylome","","Add","G2F details (HSP90AA5P)    DRscDB Data: (HSP90AA5P)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","10131","16264","TRAP1","ENSG00000126602","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (TRAP1)    DRscDB Data: (TRAP1)                             Human Protein Atlas  (HPA)"
"29","HSP82","855836","S000006161","HSP82","Human","7184","12028","HSP90B1","ENSG00000166598","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL","","Add","G2F details (HSP90B1)    DRscDB Data: (HSP90B1)                             Human Protein Atlas  (HPA)"
"30","ISW1","852547","S000000449","ISW1","Human","8467","11101","SMARCA5","ENSG00000153147","12","11.86","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (SMARCA5)    DRscDB Data: (SMARCA5)                             Human Protein Atlas  (HPA)"
"30","ISW1","852547","S000000449","ISW1","Human","6594","11097","SMARCA1","ENSG00000102038","11","10.86","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (SMARCA1)    DRscDB Data: (SMARCA1)                             Human Protein Atlas  (HPA)"
"31","KRR1","850298","S000000564","KRR1","Human","11103","5176","KRR1","ENSG00000111615","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (KRR1)    DRscDB Data: (KRR1)                             Human Protein Atlas  (HPA)"
"32","KTI11","852207","S000007587","KTI11","Human","285381","27717","DPH3","ENSG00000154813","12","11.81","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (DPH3)    DRscDB Data: (DPH3)                             Human Protein Atlas  (HPA)"
"32","KTI11","852207","S000007587","KTI11","Human","100132911","16136","DPH3P1","","6","6.06","moderate","No","Yes","Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome","","Add","G2F details (DPH3P1)    DRscDB Data: (DPH3P1)                             Human Protein Atlas  (HPA)"
"33","KTI12","853750","S000001593","KTI12","Human","112970","25160","KTI12","ENSG00000198841","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (KTI12)    DRscDB Data: (KTI12)                             Human Protein Atlas  (HPA)"
"33","LRS4","852049","S000002847","LRS4","","none found","","","","","","","","","","","",""
"34","MIH1","855052","S000004639","MIH1","Human","993","1725","CDC25A","ENSG00000164045","10","9.78","high","Yes","Yes","Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CDC25A)    DRscDB Data: (CDC25A)                             Human Protein Atlas  (HPA)"
"34","MIH1","855052","S000004639","MIH1","Human","994","1726","CDC25B","ENSG00000101224","9","8.85","moderate","No","Yes","eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CDC25B)    DRscDB Data: (CDC25B)                             Human Protein Atlas  (HPA)"
"34","MIH1","855052","S000004639","MIH1","Human","995","1727","CDC25C","ENSG00000158402","9","8.77","moderate","No","Yes","eggNOG, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (CDC25C)    DRscDB Data: (CDC25C)                             Human Protein Atlas  (HPA)"
"34","MMS22","851030","S000004312","MMS22","","none found","","","","","","","","","","","",""
"35","MRPL10","855436","S000005228","MRPL10","Human","29088","14054","MRPL15","ENSG00000137547","10","9.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome","","Add","G2F details (MRPL15)    DRscDB Data: (MRPL15)                             Human Protein Atlas  (HPA)"
"36","NAB2","852755","S000003090","NAB2","Human","79882","20509","ZC3H14","ENSG00000100722","9","8.82","high","Yes","Yes","Compara, eggNOG, Hieranoid, Isobase, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp","","Add","G2F details (ZC3H14)    DRscDB Data: (ZC3H14)                             Human Protein Atlas  (HPA)"
"37","NAM7","855104","S000004685","NAM7","Human","5976","9962","UPF1","ENSG00000005007","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (UPF1)    DRscDB Data: (UPF1)                             Human Protein Atlas  (HPA)"
