,HRR25
SMC3,[]
SPC97,[]
SPC98,[]
SPO13,[]
SPT21,[]
SSA1,"['HSPA1L', 'HSPA8', 'HSPA1B', 'HSPA2', 'HSPA6', 'HSPA1A', 'HSPA7', 'HSPA13']"
SSE2,"['HSPH1', 'HSPA4L', 'HSPA4']"
STE3,[]
SUN4,[]
SWI6,[]
TGL1,[]
TIF6,[]
TIS11,[]
TMA17,[]
TMA19,[]
TMT1,"['METTL27', 'METTL7B']"
TOM22,[]
TOM40,[]
TSR1,[]
TUB4,[]
TUF1,[]
UBA1,[]
ULP2,"['SENP7', 'SENP6']"
URA8,[]
URE2,[]
UTP10,['HEATR1']
UTP7,[]
VAM6,"['VPS39', 'TGFBRAP1']"
VHS2,[]
VID27,[]
VMA4,[]
VPS55,[]
WHI3,[]
YBR225W,[]
YDR186C,[]
YER138C,[]
YMR196W,[]
YMR295C,[]
YNL058C,[]
YPT1,[]
YRA1,"['ALYREF', 'POLDIP3']"
